condition,window,landmark_delta,actual_delta,sampling_mse,fusion_mse,total_mse,sampling_psnr,fusion_psnr,total_psnr,sampling_ssim,fusion_ssim,total_ssim,focus_index_agreement,axial_error_kF_mean,axial_error_kF_median,axial_error_kF_p95,oracle_axial_error_mean,N_eff,R_Z,adjacent_overlap_mean,K
H_LF,3,0.1,0.1,6.0679764988402464e-05,1.2529789173321762e-05,8.636540495406967e-05,90.30036470764384,97.1513659726668,88.76740547165483,0.999994641541612,0.999999283500286,0.9999922953788624,0.920974151234568,0.0599402543905952,0.0,0.1,0.0107030703195439,24.719764786919846,0.694817718680002,0.7035029401635019,81
H_LF,3,0.25,0.25,9.123336740915646e-05,1.5413001249875945e-05,0.0001103839342359,88.52926655967666,96.25193147240417,87.70174492007303,0.999992819481928,0.99999878580629,0.9999904664592848,0.9162355324074074,0.1582912609017489,0.0499999999999998,0.2000000000000001,0.0602114323449516,20.52866689534804,0.3779191849894534,0.3897291595203738,33
H_LF,3,0.5,0.5,0.0001573084178849,2.198675448505793e-05,0.0001799947128069,86.16328397665086,94.70919233974404,85.5782061261178,0.9999885035829672,0.9999983268583256,0.9999854712539956,0.8279711612654321,0.3575607794129664,0.2000000000000001,1.2000000000000002,0.1738415604378203,12.2569951741606,0.2790002838729059,0.2964378016149624,17
H_LF,3,1.0,1.0,0.0002610965816675,2.0962272181251608e-05,0.0002746073854447,83.96279174884265,94.91642005156592,83.74368147651245,0.9999790469299804,0.9999985287202044,0.999977338155832,0.8848953510802469,0.3823188933884656,0.2000000000000001,1.2000000000000002,0.2171453523130468,7.865599802581713,0.1260444663798097,0.1418000246772859,9
H_LF,3,2.0,2.0,0.0005057032621694,1.2697712731125668e-05,0.0005029380398145,81.0918460569761,97.0935486335388,81.11565876058746,0.9999501115637351,0.9999989035814056,0.9999503034164096,0.7661612654320987,0.892986323704872,0.7999999999999998,1.2000000000000002,0.6952242473615511,4.279438487926841,0.1441123024146318,0.1801403780182897,5
H_LF,7,0.1,0.1,6.0679764988402464e-05,2.2934086881817117e-05,0.0001115400989749,90.30036470764384,94.52598907443404,87.65649335341581,0.999994641541612,0.9999983621453428,0.9999898716650628,0.9575028935185184,0.0597878455366687,0.0,0.0469522476196289,0.0107030703195439,14.894396015738526,0.8161185677069318,0.8263200498032685,81
H_LF,7,0.25,0.25,9.123336740915646e-05,2.197295904564598e-05,0.0001243855720307,88.52926655967666,94.711918146137,87.18310353108242,0.999992819481928,0.9999984591405316,0.999988995238656,0.94729793595679,0.1525449694260696,0.0499999999999998,0.1278007745742798,0.0602114323449516,15.589268138423945,0.5275979351992744,0.5440853706742517,33
H_LF,7,0.5,0.5,0.0001573084178849,1.8756446359850636e-05,0.0001801555072658,86.16328397665086,95.39929801478353,85.5743281803636,0.9999885035829672,0.9999983796792076,0.9999857515813044,0.9178404706790124,0.321566452149042,0.2000000000000001,0.679021143913269,0.1738415604378203,11.419580365714223,0.3282599784873985,0.3487762271428609,17
H_LF,7,1.0,1.0,0.0002610965816675,1.6964990724041687e-05,0.0002675830563881,83.96279174884265,95.83526734346168,83.85621750838223,0.9999790469299804,0.9999986706624432,0.99997801681626,0.9351890432098764,0.3501258080574546,0.2000000000000001,0.6517772674560547,0.2171453523130468,7.667077846684184,0.1481024614795351,0.166615269164477,9
H_LF,7,2.0,2.0,0.0005057032621694,9.924572776575147e-06,0.0004998710639527,81.0918460569761,98.1636854011985,81.1422236340193,0.9999501115637351,0.9999990640993646,0.9999506173282556,0.8056211419753087,0.8703948715593669,0.7999999999999998,1.2000000000000002,0.6952242473615511,4.174995872319288,0.1650008255361423,0.206251031920178,5
H_LF,15,0.1,0.1,6.0679764988402464e-05,3.9308122019331546e-05,0.000145640050634,90.30036470764384,92.18598065359296,86.49799539616578,0.999994641541612,0.9999970037052192,0.9999874362902887,0.9290726273148148,0.0944461694703159,0.0,0.0637469768524161,0.0107030703195439,10.647576919465372,0.8685484330930201,0.879405288506683,81
H_LF,15,0.25,0.25,9.123336740915646e-05,3.721881180647102e-05,0.0001600941935251,88.52926655967666,92.4231785650438,86.08704780139911,0.999992819481928,0.9999970775775592,0.9999860317710232,0.939375,0.1850522849084881,0.0499999999999998,0.128947377204895,0.0602114323449516,11.14179430682026,0.6623698694902952,0.6830689279118669,33
H_LF,15,0.5,0.5,0.0001573084178849,3.664181700189016e-05,0.0002081441455116,86.16328397665086,92.49103359454828,84.94716160911764,0.9999885035829672,0.9999970297647796,0.9999823714853648,0.9363387345679012,0.3274782097056108,0.2000000000000001,0.2999999999999998,0.1738415604378203,9.209527415732229,0.4582630931922218,0.4869045365167357,17
H_LF,15,1.0,1.0,0.0002610965816675,1.7610467565163405e-05,0.000285013590724,83.96279174884265,95.67309474050282,83.58214791260397,0.9999790469299804,0.999998453863036,0.999976121386725,0.948531539351852,0.3572102910361682,0.2000000000000001,0.5083504676818849,0.2171453523130468,7.116350177053874,0.2092944247717917,0.2354562278682656,9
H_LF,15,2.0,2.0,0.0005057032621694,7.973746718481263e-06,0.0004996168775996,81.0918460569761,99.11417924439073,81.14443259979728,0.9999501115637351,0.999999228666064,0.9999506660367472,0.8725062692901234,0.8464953108695096,0.7999999999999998,1.2000000000000002,0.6952242473615511,4.085153323523849,0.1829693352952303,0.2287116691190378,5
H_COARSE,3,0.1,0.1,6.129598954420846e-05,1.2049070079083943e-05,8.630459816655312e-05,90.256483003103,97.32126830563377,88.77046426043053,0.9999946511958074,0.9999993369284836,0.9999924143500748,0.9473924575617284,0.0511297425930094,0.0,0.0512786865234371,0.0107030703195439,24.61006899685464,0.6961719876931527,0.704874137539317,81
H_COARSE,3,0.25,0.25,9.285272275785092e-05,1.2274004291576564e-05,0.0001066395374153,88.45285717613082,97.24094090069931,87.85162108355405,0.9999927276760276,0.9999991807569488,0.9999911064833475,0.917397762345679,0.134177209876569,0.0499999999999998,0.1504158020019531,0.0602114323449516,20.86901178310056,0.3676057035424073,0.3790933817781076,33
H_COARSE,3,0.5,0.5,0.0001640932859089,1.703892936511928e-05,0.0001793989008914,85.97989549177001,95.81638058314498,85.5926058290803,0.9999878597973686,0.999998914610691,0.9999858346353706,0.8948046875,0.2830340578561,0.2000000000000001,0.7000000000000002,0.1738415604378203,12.471639964076704,0.266374119760194,0.2830225022452061,17
H_COARSE,3,1.0,1.0,0.0002754780864001,1.9104591980945047e-05,0.0002845966917141,83.72993303357151,95.31942594023609,83.58850513533739,0.9999775751151826,0.99999878914535,0.9999764421422142,0.9090041473765432,0.3231065783766396,0.2000000000000001,0.7999999999999998,0.2171453523130468,8.036665267577504,0.1070371924913884,0.120416841552812,9
