condition,window,landmark_delta,actual_delta,plateau_mse,plateau_axial_error_mean,ramp_mse,ramp_axial_error_mean,hard_step_mse,hard_step_axial_error_mean,protrusion_mse,protrusion_axial_error_mean
H_LF,3,0.1,0.1,5.456128328903677e-05,0.1505949779372033,0.0001684448316252,0.0936362737218262,0.0004068377741012,1.2233013397535162,0.0042933268032771,0.0111914414566064
H_LF,3,0.25,0.25,6.952015889225547e-05,0.2980815979864301,0.000202818405175,0.1982127869283057,0.0005395319396619,2.0311414975167743,0.0043672403056018,0.005549139221963
H_LF,3,0.5,0.5,7.147447795425713e-05,0.4020529959972759,0.0002936441828684,0.2990003648531326,0.0004470849220666,2.232786088302487,0.0043375879900752,0.0048705481393885
H_LF,3,1.0,1.0,5.838711261581999e-05,0.3254873492578352,0.0004777845968621,0.4655820514503611,0.0004165357393534,2.526515867599965,0.0043683226388892,0.011250168192056
H_LF,3,2.0,2.0,0.0001605648237537,1.113355291841697,0.0009045260874662,0.6510087495055167,0.0002939801591534,2.2323036178568967,0.0044174722521869,0.0198448784005194
H_LF,7,0.1,0.1,6.262236029433664e-05,0.1885329680523407,0.0002183602678256,0.1050350298808566,0.0005039459537732,1.6320783999211388,0.004349750308523,0.0076025344419245
H_LF,7,0.25,0.25,7.521860179122382e-05,0.3195417623501399,0.0002329139524069,0.1846927042275137,0.000568873763382,2.0282823922559508,0.0043359352686749,0.0051736015674535
H_LF,7,0.5,0.5,7.149804124427786e-05,0.3527437869838546,0.0002905303010971,0.2622253900846496,0.000428820317516,2.185842894797176,0.0043385577417079,0.0053679476359929
H_LF,7,1.0,1.0,5.8393378837736505e-05,0.2918425063082768,0.0004634382062005,0.4367330305423454,0.0004415016600302,2.792456665444125,0.0043765675633436,0.0112688490072626
H_LF,7,2.0,2.0,0.0001579357855331,1.0854052976363584,0.0008988872321085,0.6111703765304786,0.0002909531454111,2.226197425157231,0.0044616389149851,0.0245702083114698
H_LF,15,0.1,0.1,8.45182897361389e-05,0.3182641090114022,0.0002673641106809,0.1705018052655532,0.0007507227323139,3.0830288217604247,0.0043451961642543,0.0136384235120714
H_LF,15,0.25,0.25,9.106874630525164e-05,0.4256202065585955,0.0002785604422582,0.215920720352736,0.0006171763861691,2.2710995331606463,0.0043401145449257,0.0112730075251219
H_LF,15,0.5,0.5,6.65850519467308e-05,0.3110207489776822,0.0003279271564808,0.2562565017295161,0.0002994238392325,1.660722326344065,0.0043610636818857,0.0133121592380094
H_LF,15,1.0,1.0,5.288424341790684e-05,0.2520773012325618,0.0004748385532554,0.4568213633244635,0.0004103840965773,2.9332477062540865,0.0043920573229932,0.0147838436176492
H_LF,15,2.0,2.0,0.0001536312581538,1.030319631521046,0.0008998043214536,0.5839434670132508,0.0002875735559555,2.369165540487685,0.0044661952187344,0.0269492607521194
H_COARSE,3,0.1,0.1,6.162609700507947e-05,0.145925773761186,0.0001685682223078,0.0817226720773713,0.0003139675035196,1.082413831410927,0.0042381190852741,0.0115177057306684
H_COARSE,3,0.25,0.25,6.754819007486597e-05,0.2586337181814294,0.000199399613839,0.164507648540176,0.0003425843932351,1.5826153624786172,0.0043062217874068,0.0051413088793855
H_COARSE,3,0.5,0.5,7.193105905160632e-05,0.2943787212324261,0.0002932183541477,0.232879445524912,0.0003140620519762,1.3627960140765514,0.0042823166350228,0.0048705481393885
H_COARSE,3,1.0,1.0,6.266247045344452e-05,0.2550470734171076,0.000495895284964,0.3987389109805653,0.0003548116231976,1.9083053354712427,0.0043028054644543,0.013783760677543
H_COARSE,3,2.0,2.0,0.0002998720486374,0.9992201972003794,0.0009894770432969,0.5760818990773537,0.0003507103745972,1.9662767638747989,0.0043503258434778,0.0223784708860064
H_COARSE,7,0.1,0.1,7.197822825994803e-05,0.192081553192012,0.000217858219867,0.0993555925490848,0.0003965916914851,1.5848838258606848,0.0042957304883765,0.0067868737567696
H_COARSE,7,0.25,0.25,7.292461534685119e-05,0.2862650856426066,0.0002307315980511,0.1631018246096487,0.0003728767550591,1.6991315711628308,0.004284569401867,0.0051736015674535
H_COARSE,7,0.5,0.5,6.725862369299185e-05,0.2507392634156339,0.0002877740110777,0.2073191507296963,0.0003061698432021,1.2370063697883162,0.0042765268663726,0.0059367031296548
