condition,window,metric,n_increasing_steps,n_decreasing_steps,n_total_steps,spearman_rho_vs_delta,status,reversal_fraction,max_step_magnitude,overall_range
H_FINE,3,sampling_mse,211,108,319,0.9701216564614888,mostly_monotonic_local_reversals,0.3385579937304075,3.73203665181e-05,0.0013057831914157372
H_FINE,3,fusion_mse,152,167,319,-0.7545652301292004,weakly_monotonic_trend,0.47648902821316613,6.2579049835101e-06,1.5084387708299459e-05
H_FINE,3,focus_index_agreement,151,168,319,-0.33041850994638616,non_monotonic,0.47335423197492166,0.5634211033950617,0.8382489390432101
H_FINE,3,axial_error_kF_mean,217,102,319,0.9813523569566108,mostly_monotonic_local_reversals,0.31974921630094044,0.049766815221655804,1.0030733484115941
H_FINE,7,total_mse,202,117,319,0.9711067735036476,mostly_monotonic_local_reversals,0.3667711598746082,3.36796600859e-05,0.0012444830116836
H_FINE,7,sampling_mse,211,108,319,0.9701216564614888,mostly_monotonic_local_reversals,0.3385579937304075,3.73203665181e-05,0.0013057831914157372
H_FINE,7,fusion_mse,149,170,319,-0.8752255881405092,weakly_monotonic_trend,0.4670846394984326,3.963710962514865e-06,2.0528513907709892e-05
H_FINE,7,focus_index_agreement,149,170,319,-0.6727320335159523,weakly_monotonic_trend,0.4670846394984326,0.5800597993827161,0.8485083912037037
H_FINE,7,axial_error_kF_mean,214,105,319,0.9835005712946415,mostly_monotonic_local_reversals,0.329153605015674,0.04708155634888689,0.9918217965055554
H_FINE,15,total_mse,209,110,319,0.9708951015146632,mostly_monotonic_local_reversals,0.3448275862068966,5.2975354319800036e-05,0.0012129368051502
H_FINE,15,sampling_mse,211,108,319,0.9701216564614888,mostly_monotonic_local_reversals,0.3385579937304075,3.73203665181e-05,0.0013057831914157372
H_FINE,15,fusion_mse,163,156,319,-0.9102972196994111,mostly_monotonic_local_reversals,0.4890282131661442,7.833310691267104e-06,3.755326342397197e-05
H_FINE,15,focus_index_agreement,161,158,319,-0.5147983622886941,weakly_monotonic_trend,0.4952978056426332,0.6326972415123457,0.8553539737654322
H_FINE,15,axial_error_kF_mean,206,113,319,0.9845900594732371,mostly_monotonic_local_reversals,0.3542319749216301,0.06055395165601238,0.9890531900643529
P_LF,3,total_mse,210,109,319,0.9784863621715055,mostly_monotonic_local_reversals,0.34169278996865204,3.82081087486999e-05,0.0014651862976867
P_LF,3,sampling_mse,212,107,319,0.9790561919549997,mostly_monotonic_local_reversals,0.335423197492163,5.0362023090600046e-05,0.0015125724267894048
P_LF,3,fusion_mse,147,172,319,-0.8675314212052851,weakly_monotonic_trend,0.4608150470219436,1.0711496745491464e-05,4.2209275848546914e-05
P_LF,3,focus_index_agreement,174,145,319,0.5791279699997071,weakly_monotonic_trend,0.45454545454545453,0.5493928433641975,0.8218340084876543
P_LF,3,axial_error_kF_mean,211,108,319,0.9777085225441654,mostly_monotonic_local_reversals,0.3385579937304075,0.08640048457078159,0.9382843790672982
P_LF,7,total_mse,205,114,319,0.9788738171271205,mostly_monotonic_local_reversals,0.3573667711598746,3.687552608140003e-05,0.0014360979300432
P_LF,7,sampling_mse,212,107,319,0.9790561919549997,mostly_monotonic_local_reversals,0.335423197492163,5.0362023090600046e-05,0.0015125724267894048
P_LF,7,fusion_mse,151,168,319,-0.949695675739021,mostly_monotonic_local_reversals,0.47335423197492166,8.467166928708698e-06,2.9539467796597082e-05
P_LF,7,focus_index_agreement,174,145,319,0.4298635512062714,non_monotonic,0.45454545454545453,0.5895230516975309,0.83724006558642
P_LF,7,axial_error_kF_mean,215,104,319,0.9785149269035831,mostly_monotonic_local_reversals,0.32601880877742945,0.0653390043355156,0.9256933835532805
P_LF,15,total_mse,207,112,319,0.9789606099668943,mostly_monotonic_local_reversals,0.3510971786833856,4.96475943464e-05,0.0013972940278579999
P_LF,15,sampling_mse,212,107,319,0.9790561919549997,mostly_monotonic_local_reversals,0.335423197492163,5.0362023090600046e-05,0.0015125724267894048
P_LF,15,fusion_mse,162,157,319,-0.9298867664723288,mostly_monotonic_local_reversals,0.49216300940438873,1.2027640803980427e-05,5.0189015071039655e-05
P_LF,15,focus_index_agreement,174,145,319,0.36443053317450763,non_monotonic,0.45454545454545453,0.6329745370370371,0.8547487461419755
P_LF,15,axial_error_kF_mean,214,105,319,0.981383485190285,mostly_monotonic_local_reversals,0.329153605015674,0.053602298100391105,0.895375605802663
P_COARSE,3,total_mse,224,95,319,0.9728733923182843,mostly_monotonic_local_reversals,0.29780564263322884,8.036247329070009e-05,0.0024969967456615
