condition,delta,window,K,sampling_mse,sampling_psnr,sampling_ssim,fusion_mse,fusion_psnr,fusion_ssim,total_mse,total_psnr,total_ssim,focus_index_agreement,axial_error_kF_mean,axial_error_kF_median,axial_error_kF_p95,oracle_axial_error_mean,oracle_axial_error_median,oracle_axial_error_p95,N_eff,R_Z,adjacent_overlap_mean,region_plateau_mse,region_ramp_mse,region_hard_step_mse,region_protrusion_mse,region_plateau_axial_error_mean,region_ramp_axial_error_mean,region_hard_step_axial_error_mean,region_protrusion_axial_error_mean
H_LF,0.01,3,801,5.5083377969145376e-05,90.7205979550713,0.99999499948493,1.3605305011570784e-05,96.79372078378944,0.9999991342014367,8.595852944802955e-05,88.787913837608,0.9999921280871238,0.1302690972222222,0.05964556551615569,0.009999999999999787,0.08000000000000007,0.0008342778928874253,0.0,0.003930282592773449,5.848728267554047,0.9926982168944394,0.9939390896655574,4.8498881780110506e-05,0.000171439170499267,0.0004124317827826286,0.003941821017147346,0.08003176262470534,0.08312242295173358,1.1522528134088759,0.027423089091190168
H_LF,0.02,3,401,5.526292197653259e-05,90.70646516756199,0.9999949886679377,1.3408405902071953e-05,96.85703212329187,0.9999991559199564,8.588083419656226e-05,88.79184106598758,0.9999921542938607,0.541168499228395,0.05785643172561144,0.006306037902831685,0.08000000000000007,0.0014534199278078295,0.0,0.008036806106566922,10.148581972835409,0.9746918155290888,0.9771285450679116,4.7033987590996275e-05,0.00017035662855602492,0.0003903684215748975,0.003933949701601723,0.07509209718437349,0.07671962839960741,1.0808735365519402,0.027385418302277403
H_LF,0.03,3,268,5.5428839029348486e-05,90.69344578584811,0.9999949783249076,1.3409335576149142e-05,96.85673101492137,0.9999991507086847,8.666242329891067e-05,88.75249532035808,0.9999921036065962,0.3331616512345679,0.0641924653427383,0.019999999999999574,0.07000000000000028,0.008656130723467204,0.010000000000000231,0.012105197906494114,13.757941608576889,0.948664396982922,0.952217447158888,5.117303318053184e-05,0.0001715655262871546,0.00040105435362617085,0.003940581207077647,0.10219467436403866,0.07945456066035787,1.1282277861650585,0.02726263371416216
H_LF,0.04,3,201,5.573942485659286e-05,90.66917877705134,0.9999949615685852,1.3308697987985288e-05,96.8894479106508,0.9999991693753262,8.692407886695996e-05,88.7394026369974,0.9999921180654449,0.8638758680555556,0.05311386932576465,0.0,0.08000000000000007,0.0035252299791250505,0.0,0.018947377204895144,16.65215162209679,0.9171534745169314,0.9217392418895162,4.639445856666841e-05,0.00017134709308619175,0.0003883016565067875,0.004294077016052112,0.07266459881007507,0.08037646304966295,1.081387531739589,0.011713464295105688
H_LF,0.05,3,161,5.6528901077965164e-05,90.60809818011978,0.9999949089125242,1.3168478159338562e-05,96.93544773088418,0.9999991872594034,8.69445460601198e-05,88.73838016510588,0.9999921486642991,0.9116931905864197,0.05449013321416301,0.0,0.08529058456420885,0.004734090219362748,0.0,0.02105262279510489,18.813138697671192,0.8831482068467628,0.8886678831395551,4.758852382229869e-05,0.00017286160139454233,0.0003847558043225584,0.004296233855594025,0.08314594897182784,0.08506422188298153,1.1449795773416627,0.011109875388090966
H_LF,0.06,3,135,5.7195709390378895e-05,90.55716910011476,0.9999948637607962,1.2750327666047722e-05,97.075590151781,0.9999992149193014,8.65734499433149e-05,88.75695636414144,0.9999921903582364,0.907583912037037,0.06532675801214682,0.019999999999999574,0.10000000000000009,0.017012174362177692,0.019999999999999574,0.023997263431548805,20.87754576178703,0.8453515128756517,0.8516601062553207,5.2197981320574864e-05,0.0001711818737394171,0.00039756248755139207,0.003949748920177064,0.10961442027019336,0.08408096421694537,1.1056321882313302,0.02786354586117385
H_LF,0.07,3,116,5.752239557073669e-05,90.53243396540933,0.9999948393978683,1.2922151846604737e-05,97.01745520793146,0.9999992339682932,8.627322482806447e-05,88.77204328926496,0.9999922326624481,0.39817274305555556,0.07542746547770837,0.040000000000000036,0.09967712402343754,0.02314726137437634,0.029999999999999805,0.029999999999999805,22.297044609098435,0.8077840981974272,0.8148083077469701,4.542481414545354e-05,0.00016827040235971026,0.00030835341061902216,0.00395772400489988,0.07963429044077154,0.06903505389030852,0.8166940072822856,0.02796410190339543
H_LF,0.08,3,101,5.910273615374122e-05,90.41472773912798,0.9999947457838961,1.297293244624975e-05,97.00042204269133,0.9999992336491026,8.726984464936546e-05,88.72216157995992,0.999992198240868,0.8305256558641976,0.05996073239005822,0.0,0.08000000000000007,0.009209767182092515,0.0,0.03789480209350571,23.4962444775992,0.7673639160633743,0.775037555224008,5.4995529888937265e-05,0.00017141582016475256,0.00040572215681341963,0.004301239417352659,0.15245399476175808,0.09124597376694726,1.1754746601798318,0.011568673633245628
H_LF,0.09,3,90,5.934698739964085e-05,90.39681682883439,0.9999947210107026,1.2640500898023699e-05,97.11316077037246,0.9999992662807741,8.641709302847413e-05,88.76480707813397,0.9999922604880528,0.9130488040123457,0.06162921417969964,0.010000000000000231,0.10000000000000009,0.013403122206010566,0.010000000000000231,0.03567562103271538,24.401476552908047,0.7288724827454661,0.7370620612032804,5.048366850670782e-05,0.00017038430910328094,0.000380998007451318,0.004304961895942173,0.10386966315269765,0.09154445171420292,1.1053842500140876,0.011977152474358266
H_LF,0.1,3,81,6.0679764988402464e-05,90.30036470764385,0.9999946415416121,1.2529789173321762e-05,97.15136597266681,0.999999283500286,8.636540495406967e-05,88.76740547165483,0.9999922953788624,0.9209741512345679,0.0599402543905952,0.0,0.10000000000000009,0.010703070319543932,0.0,0.04210519790649436,24.719764786919846,0.694817718680002,0.7035029401635019,5.456128328903677e-05,0.00016844483162527175,0.00040683777410128856,0.004293326803277117,0.15059497793720333,0.09363627372182629,1.2233013397535162,0.011191441456606464
