condition,window,delta_from,delta_to,metric,value_from,value_to,abs_change,rel_change,better_direction
H_LF,3,1.0,0.5,total_mse,0.0002746073854447,0.0001799947128069,-9.461267263779997e-05,-0.3445379754975779,lower
H_LF,3,1.0,0.5,sampling_mse,0.0002610965816675,0.0001573084178849,-0.00010378816378260003,-0.397508703943017,lower
H_LF,3,1.0,0.5,focus_index_agreement,0.8848953510802469,0.8279711612654321,-0.05692418981481473,-0.0643287251371858,higher
H_LF,3,1.0,0.5,axial_error_kF_mean,0.3823188933884656,0.3575607794129664,-0.024758113975499207,-0.06475775695014645,lower
H_LF,3,0.5,0.25,total_mse,0.0001799947128069,0.0001103839342359,-6.961077857100001e-05,-0.38673790738330793,lower
H_LF,3,0.5,0.25,sampling_mse,0.0001573084178849,9.123336740915646e-05,-6.607505047574353e-05,-0.4200350582896942,lower
H_LF,3,0.5,0.25,focus_index_agreement,0.8279711612654321,0.9162355324074074,0.08826437114197527,0.10660319497973356,higher
H_LF,3,0.5,0.25,axial_error_kF_mean,0.3575607794129664,0.1582912609017489,-0.1992695185112175,-0.5573025062714451,lower
H_LF,3,0.25,0.12,total_mse,0.0001103839342359,8.553683558706157e-05,-2.4847098648838435e-05,-0.2250970562050999,lower
H_LF,3,0.25,0.12,sampling_mse,9.123336740915646e-05,6.360083970468625e-05,-2.7632527704470205e-05,-0.3028774283924647,lower
H_LF,3,0.25,0.12,focus_index_agreement,0.9162355324074074,0.9308439429012346,0.014608410493827217,0.015943946700521034,higher
H_LF,3,0.25,0.12,axial_error_kF_mean,0.1582912609017489,0.0797436686136594,-0.07854759228808948,-0.4962219129509862,lower
H_LF,3,2.0,1.0,total_mse,0.0005029380398145,0.0002746073854447,-0.0002283306543698,-0.4539936061587543,lower
H_LF,3,2.0,1.0,sampling_mse,0.0005057032621694,0.0002610965816675,-0.0002446066805019,-0.48369607000866427,lower
H_LF,3,2.0,1.0,focus_index_agreement,0.7661612654320987,0.8848953510802469,0.11873408564814814,0.15497270745106728,higher
H_LF,3,2.0,1.0,axial_error_kF_mean,0.892986323704872,0.3823188933884656,-0.5106674303164064,-0.5718647830996119,lower
H_LF,7,1.0,0.5,total_mse,0.0002675830563881,0.0001801555072658,-8.742754912229999e-05,-0.32673051239647954,lower
H_LF,7,1.0,0.5,sampling_mse,0.0002610965816675,0.0001573084178849,-0.00010378816378260003,-0.397508703943017,lower
H_LF,7,1.0,0.5,focus_index_agreement,0.9351890432098764,0.9178404706790124,-0.01734857253086397,-0.01855087231488295,higher
H_LF,7,1.0,0.5,axial_error_kF_mean,0.3501258080574546,0.321566452149042,-0.028559355908412576,-0.08156883968897852,lower
H_LF,7,0.5,0.25,total_mse,0.0001801555072658,0.0001243855720307,-5.5769935235099976e-05,-0.30956553081009874,lower
H_LF,7,0.5,0.25,sampling_mse,0.0001573084178849,9.123336740915646e-05,-6.607505047574353e-05,-0.4200350582896942,lower
H_LF,7,0.5,0.25,focus_index_agreement,0.9178404706790124,0.94729793595679,0.029457465277777595,0.03209431945835332,higher
H_LF,7,0.5,0.25,axial_error_kF_mean,0.321566452149042,0.1525449694260696,-0.1690214827229724,-0.5256191421505408,lower
H_LF,7,0.25,0.12,total_mse,0.0001243855720307,0.0001100961471198,-1.4289424910900016e-05,-0.11488008357893145,lower
H_LF,7,0.25,0.12,sampling_mse,9.123336740915646e-05,6.360083970468625e-05,-2.7632527704470205e-05,-0.3028774283924647,lower
H_LF,7,0.25,0.12,focus_index_agreement,0.94729793595679,0.9658405671296296,0.018542631172839608,0.01957423369038715,higher
H_LF,7,0.25,0.12,axial_error_kF_mean,0.1525449694260696,0.0792947849378548,-0.0732501844882148,-0.48018748021523744,lower
H_LF,7,2.0,1.0,total_mse,0.0004998710639527,0.0002675830563881,-0.00023228800756459997,-0.4646958472206747,lower
H_LF,7,2.0,1.0,sampling_mse,0.0005057032621694,0.0002610965816675,-0.0002446066805019,-0.48369607000866427,lower
H_LF,7,2.0,1.0,focus_index_agreement,0.8056211419753087,0.9351890432098764,0.12956790123456774,0.16082981749570177,higher
H_LF,7,2.0,1.0,axial_error_kF_mean,0.8703948715593669,0.3501258080574546,-0.5202690635019123,-0.5977391187632087,lower
H_LF,15,1.0,0.5,total_mse,0.000285013590724,0.0002081441455116,-7.686944521240001e-05,-0.2697044902916172,lower
H_LF,15,1.0,0.5,sampling_mse,0.0002610965816675,0.0001573084178849,-0.00010378816378260003,-0.397508703943017,lower
H_LF,15,1.0,0.5,focus_index_agreement,0.948531539351852,0.9363387345679012,-0.012192804783950795,-0.012854401016841622,higher
H_LF,15,1.0,0.5,axial_error_kF_mean,0.3572102910361682,0.3274782097056108,-0.02973208133055738,-0.08323411188494273,lower
H_LF,15,0.5,0.25,total_mse,0.0002081441455116,0.0001600941935251,-4.804995198650001e-05,-0.2308494042356918,lower
H_LF,15,0.5,0.25,sampling_mse,0.0001573084178849,9.123336740915646e-05,-6.607505047574353e-05,-0.4200350582896942,lower
H_LF,15,0.5,0.25,focus_index_agreement,0.9363387345679012,0.939375,0.0030362654320987836,0.003242699805108405,higher
H_LF,15,0.5,0.25,axial_error_kF_mean,0.3274782097056108,0.1850522849084881,-0.1424259247971227,-0.4349172573196783,lower
H_LF,15,0.25,0.12,total_mse,0.0001600941935251,0.0001477093844463,-1.2384809078799992e-05,-0.07735951445895674,lower
H_LF,15,0.25,0.12,sampling_mse,9.123336740915646e-05,6.360083970468625e-05,-2.7632527704470205e-05,-0.3028774283924647,lower
H_LF,15,0.25,0.12,focus_index_agreement,0.939375,0.9462495177469136,0.006874517746913611,0.007318182564911363,higher
H_LF,15,0.25,0.12,axial_error_kF_mean,0.1850522849084881,0.1110175710152561,-0.074034713893232,-0.40007457313938916,lower
H_LF,15,2.0,1.0,total_mse,0.0004996168775996,0.000285013590724,-0.0002146032868756,-0.4295357032505737,lower
H_LF,15,2.0,1.0,sampling_mse,0.0005057032621694,0.0002610965816675,-0.0002446066805019,-0.48369607000866427,lower
H_LF,15,2.0,1.0,focus_index_agreement,0.8725062692901234,0.948531539351852,0.07602527006172854,0.08713435391539728,higher
H_LF,15,2.0,1.0,axial_error_kF_mean,0.8464953108695096,0.3572102910361682,-0.4892850198333414,-0.5780126759718891,lower
H_COARSE,3,1.0,0.5,total_mse,0.0002845966917141,0.0001793989008914,-0.00010519779082269998,-0.36963813665261974,lower
H_COARSE,3,1.0,0.5,sampling_mse,0.0002754780864001,0.0001640932859089,-0.00011138480049120004,-0.40433270735526494,lower
H_COARSE,3,1.0,0.5,focus_index_agreement,0.9090041473765432,0.8948046875,-0.014199459876543252,-0.015620896689551966,higher
H_COARSE,3,1.0,0.5,axial_error_kF_mean,0.3231065783766396,0.2830340578561,-0.04007252052053961,-0.12402260802572639,lower
H_COARSE,3,0.5,0.25,total_mse,0.0001793989008914,0.0001066395374153,-7.275936347609999e-05,-0.4055730727143375,lower
H_COARSE,3,0.5,0.25,sampling_mse,0.0001640932859089,9.285272275785092e-05,-7.124056315104907e-05,-0.43414672792036013,lower
H_COARSE,3,0.5,0.25,focus_index_agreement,0.8948046875,0.917397762345679,0.022593074845679073,0.025249169077111114,higher
H_COARSE,3,0.5,0.25,axial_error_kF_mean,0.2830340578561,0.134177209876569,-0.14885684797953097,-0.5259326354823796,lower
H_COARSE,3,0.25,0.12,total_mse,0.0001066395374153,8.527019052943315e-05,-2.136934688586685e-05,-0.20038859323484748,lower
H_COARSE,3,0.25,0.12,sampling_mse,9.285272275785092e-05,6.428491362778334e-05,-2.856780913006758e-05,-0.3076679744176064,lower
H_COARSE,3,0.25,0.12,focus_index_agreement,0.917397762345679,0.9575139853395062,0.04011622299382711,0.04372827647982769,higher
H_COARSE,3,0.25,0.12,axial_error_kF_mean,0.134177209876569,0.0707128067588672,-0.06346440311770181,-0.4729894381920996,lower
H_COARSE,3,2.0,1.0,total_mse,0.0006151359279169,0.0002845966917141,-0.0003305392362028001,-0.5373434085083277,lower
H_COARSE,3,2.0,1.0,sampling_mse,0.0006263690244325,0.0002754780864001,-0.00035089093803239993,-0.5601984203326666,lower
H_COARSE,3,2.0,1.0,focus_index_agreement,0.9335546875,0.9090041473765432,-0.02455054012345681,-0.02629791318299905,higher
H_COARSE,3,2.0,1.0,axial_error_kF_mean,0.7987841103500563,0.3231065783766396,-0.47567753197341667,-0.5955019958583772,lower
H_COARSE,7,1.0,0.5,total_mse,0.0002743596184864,0.0001769788857379,-9.738073274850003e-05,-0.3549382860558511,lower
H_COARSE,7,1.0,0.5,sampling_mse,0.0002754780864001,0.0001640932859089,-0.00011138480049120004,-0.40433270735526494,lower
H_COARSE,7,1.0,0.5,focus_index_agreement,0.9463392168209876,0.949170524691358,0.0028313078703703365,0.0029918530480872113,higher
H_COARSE,7,1.0,0.5,axial_error_kF_mean,0.3090766745299882,0.2641280373355457,-0.04494863719444253,-0.14542875894078958,lower
H_COARSE,7,0.5,0.25,total_mse,0.0001769788857379,0.000121568005221,-5.541088051689999e-05,-0.3130931708936269,lower
H_COARSE,7,0.5,0.25,sampling_mse,0.0001640932859089,9.285272275785092e-05,-7.124056315104907e-05,-0.43414672792036013,lower
H_COARSE,7,0.5,0.25,focus_index_agreement,0.949170524691358,0.9446040702160494,-0.004566454475308568,-0.0048109948175997595,higher
H_COARSE,7,0.5,0.25,axial_error_kF_mean,0.2641280373355457,0.1365951015791798,-0.12753293575636587,-0.48284512709398314,lower
H_COARSE,7,0.25,0.12,total_mse,0.000121568005221,0.0001109445984262,-1.062340679479999e-05,-0.08738653542506983,lower
H_COARSE,7,0.25,0.12,sampling_mse,9.285272275785092e-05,6.428491362778334e-05,-2.856780913006758e-05,-0.3076679744176064,lower
H_COARSE,7,0.25,0.12,focus_index_agreement,0.9446040702160494,0.9684654706790125,0.023861400462963034,0.025260742797249925,higher
H_COARSE,7,0.25,0.12,axial_error_kF_mean,0.1365951015791798,0.0767592815352521,-0.05983582004392771,-0.43805245833975087,lower
H_COARSE,7,2.0,1.0,total_mse,0.0006142401741705,0.0002743596184864,-0.0003398805556841,-0.5533349493837509,lower
H_COARSE,7,2.0,1.0,sampling_mse,0.0006263690244325,0.0002754780864001,-0.00035089093803239993,-0.5601984203326666,lower
H_COARSE,7,2.0,1.0,focus_index_agreement,0.9559775270061728,0.9463392168209876,-0.009638310185185128,-0.010082151423966365,higher
H_COARSE,7,2.0,1.0,axial_error_kF_mean,0.7839246213906662,0.3090766745299882,-0.474847946860678,-0.6057316403945924,lower
H_COARSE,15,1.0,0.5,total_mse,0.0002922713327246,0.0002077464184953,-8.452491422930003e-05,-0.2892001533005146,lower
H_COARSE,15,1.0,0.5,sampling_mse,0.0002754780864001,0.0001640932859089,-0.00011138480049120004,-0.40433270735526494,lower
H_COARSE,15,1.0,0.5,focus_index_agreement,0.958812210648148,0.9554890046296296,-0.003323206018518432,-0.003465961302549512,higher
H_COARSE,15,1.0,0.5,axial_error_kF_mean,0.3232819311559987,0.2789040873394433,-0.04437784381655541,-0.13727288641795762,lower
H_COARSE,15,0.5,0.25,total_mse,0.0002077464184953,0.0001597938083557,-4.795261013959998e-05,-0.230822800638004,lower
H_COARSE,15,0.5,0.25,sampling_mse,0.0001640932859089,9.285272275785092e-05,-7.124056315104907e-05,-0.43414672792036013,lower
H_COARSE,15,0.5,0.25,focus_index_agreement,0.9554890046296296,0.9379084683641976,-0.01758053626543199,-0.0183995170852297,higher
H_COARSE,15,0.5,0.25,axial_error_kF_mean,0.2789040873394433,0.1746080709859835,-0.10429601635345978,-0.37394940084375733,lower
H_COARSE,15,0.25,0.12,total_mse,0.0001597938083557,0.0001505633120466,-9.23049630910001e-06,-0.057765043615163006,lower
H_COARSE,15,0.25,0.12,sampling_mse,9.285272275785092e-05,6.428491362778334e-05,-2.856780913006758e-05,-0.3076679744176064,lower
H_COARSE,15,0.25,0.12,focus_index_agreement,0.9379084683641976,0.9483005401234568,0.010392071759259158,0.011080048970433042,higher
H_COARSE,15,0.25,0.12,axial_error_kF_mean,0.1746080709859835,0.11212921365507,-0.06247885733091349,-0.3578234212090283,lower
H_COARSE,15,2.0,1.0,total_mse,0.000615554229832,0.0002922713327246,-0.0003232828971074,-0.525189953118561,lower
H_COARSE,15,2.0,1.0,sampling_mse,0.0006263690244325,0.0002754780864001,-0.00035089093803239993,-0.5601984203326666,lower
H_COARSE,15,2.0,1.0,focus_index_agreement,0.9650120563271604,0.958812210648148,-0.006199845679012328,-0.006424630281417379,higher
H_COARSE,15,2.0,1.0,axial_error_kF_mean,0.7844560357880506,0.3232819311559987,-0.4611741046320519,-0.587890313277741,lower
H_MIXED,3,1.0,0.5,total_mse,0.0003119287646313,0.0001926323021111,-0.0001192964625202,-0.38244777669417085,lower
H_MIXED,3,1.0,0.5,sampling_mse,0.0003049226327961,0.0001813207723635,-0.00012360186043259996,-0.40535482492456315,lower
H_MIXED,3,1.0,0.5,focus_index_agreement,0.936043113425926,0.9140099344135802,-0.022033179012345805,-0.023538636945582746,higher
H_MIXED,3,1.0,0.5,axial_error_kF_mean,0.2913622685975576,0.243592344256866,-0.047769924340691605,-0.16395370811267787,lower
H_MIXED,3,0.5,0.25,total_mse,0.0001926323021111,0.0001051356684298,-8.749663368130001e-05,-0.45421579206812696,lower
H_MIXED,3,0.5,0.25,sampling_mse,0.0001813207723635,9.542101692422518e-05,-8.589975543927483e-05,-0.4737447029349104,lower
H_MIXED,3,0.5,0.25,focus_index_agreement,0.9140099344135802,0.9387630208333332,0.024753086419752934,0.027081857086853515,higher
H_MIXED,3,0.5,0.25,axial_error_kF_mean,0.243592344256866,0.1121742376850909,-0.1314181065717751,-0.5395001512576104,lower
H_MIXED,3,0.25,0.12,total_mse,0.0001051356684298,8.463999728435236e-05,-2.0495671145447634e-05,-0.1949449834822972,lower
