condition,window,landmark_delta,actual_delta,K,N_eff,R_Z,adjacent_overlap_mean,total_mse,sampling_mse
H_LF,3,0.1,0.1,81,24.719764786919846,0.694817718680002,0.7035029401635019,8.636540495406967e-05,6.0679764988402464e-05
H_LF,3,0.25,0.25,33,20.52866689534804,0.3779191849894534,0.3897291595203738,0.0001103839342359,9.123336740915646e-05
H_LF,3,0.5,0.5,17,12.2569951741606,0.2790002838729059,0.2964378016149624,0.0001799947128069,0.0001573084178849
H_LF,3,1.0,1.0,9,7.865599802581713,0.1260444663798097,0.1418000246772859,0.0002746073854447,0.0002610965816675
H_LF,3,2.0,2.0,5,4.279438487926841,0.1441123024146318,0.1801403780182897,0.0005029380398145,0.0005057032621694
H_LF,7,0.1,0.1,81,14.894396015738526,0.8161185677069318,0.8263200498032685,0.0001115400989749,6.0679764988402464e-05
H_LF,7,0.25,0.25,33,15.589268138423945,0.5275979351992744,0.5440853706742517,0.0001243855720307,9.123336740915646e-05
H_LF,7,0.5,0.5,17,11.419580365714223,0.3282599784873985,0.3487762271428609,0.0001801555072658,0.0001573084178849
H_LF,7,1.0,1.0,9,7.667077846684184,0.1481024614795351,0.166615269164477,0.0002675830563881,0.0002610965816675
H_LF,7,2.0,2.0,5,4.174995872319288,0.1650008255361423,0.206251031920178,0.0004998710639527,0.0005057032621694
H_LF,15,0.1,0.1,81,10.647576919465372,0.8685484330930201,0.879405288506683,0.000145640050634,6.0679764988402464e-05
H_LF,15,0.25,0.25,33,11.14179430682026,0.6623698694902952,0.6830689279118669,0.0001600941935251,9.123336740915646e-05
H_LF,15,0.5,0.5,17,9.209527415732229,0.4582630931922218,0.4869045365167357,0.0002081441455116,0.0001573084178849
H_LF,15,1.0,1.0,9,7.116350177053874,0.2092944247717917,0.2354562278682656,0.000285013590724,0.0002610965816675
H_LF,15,2.0,2.0,5,4.085153323523849,0.1829693352952303,0.2287116691190378,0.0004996168775996,0.0005057032621694
H_COARSE,3,0.1,0.1,81,24.61006899685464,0.6961719876931527,0.704874137539317,8.630459816655312e-05,6.129598954420846e-05
H_COARSE,3,0.25,0.25,33,20.86901178310056,0.3676057035424073,0.3790933817781076,0.0001066395374153,9.285272275785092e-05
H_COARSE,3,0.5,0.5,17,12.471639964076704,0.266374119760194,0.2830225022452061,0.0001793989008914,0.0001640932859089
H_COARSE,3,1.0,1.0,9,8.036665267577504,0.1070371924913884,0.120416841552812,0.0002845966917141,0.0002754780864001
H_COARSE,3,2.0,2.0,5,4.580994673343586,0.0838010653312828,0.1047513316641036,0.0006151359279169,0.0006263690244325
H_COARSE,7,0.1,0.1,81,14.970901493533376,0.8151740556353904,0.8253637313308329,0.0001125019932247,6.129598954420846e-05
H_COARSE,7,0.25,0.25,33,15.963675151441414,0.516252268138139,0.5323851515174558,0.000121568005221,9.285272275785092e-05
H_COARSE,7,0.5,0.5,17,11.65769374772886,0.3142533089571259,0.3338941407669462,0.0001769788857379,0.0001640932859089
H_COARSE,7,1.0,1.0,9,7.799896977418815,0.1333447802867984,0.1500128778226482,0.0002743596184864,0.0002754780864001
H_COARSE,7,2.0,2.0,5,4.455605799929479,0.108878840014104,0.1360985500176302,0.0006142401741705,0.0006263690244325
H_COARSE,15,0.1,0.1,81,10.531688140077565,0.8699791587644745,0.8808538982490305,0.0001493497416636,6.129598954420846e-05
H_COARSE,15,0.25,0.25,33,11.298765255017994,0.6576131740903639,0.6781635857806877,0.0001597938083557,9.285272275785092e-05
H_COARSE,15,0.5,0.5,17,9.347822048472718,0.4501281147957224,0.478261121970455,0.0002077464184953,0.0001640932859089
H_COARSE,15,1.0,1.0,9,7.094533324164761,0.2117185195372487,0.2381833344794048,0.0002922713327246,0.0002754780864001
H_COARSE,15,2.0,2.0,5,4.264426678002619,0.1471146643994763,0.1838933304993452,0.000615554229832,0.0006263690244325
H_MIXED,3,0.1,0.1,81,24.755806215123904,0.6943727627762482,0.7030524223109512,8.566325347567813e-05,6.213981777753008e-05
H_MIXED,3,0.25,0.25,33,21.003746790903197,0.363522824518085,0.3748829127842752,0.0001051356684298,9.542101692422518e-05
H_MIXED,3,0.5,0.5,17,12.791918632798236,0.247534198070692,0.2630050854501102,0.0001926323021111,0.0001813207723635
H_MIXED,3,1.0,1.0,9,8.15882815782624,0.0934635380193066,0.1051464802717199,0.0003119287646313,0.0003049226327961
