delta,s_z,C_bar,coverage_deficit,S_delta
0.000600561204393225,0.001,0.9999999166666728,8.333332723875486e-08,0.0002775181616898504
0.0008407556580902953,0.00139995,0.9999998366783571,1.6332164287646833e-07,0.0003885114949735246
0.0010809501117873656,0.0017999000000000001,0.9999997300300645,2.6996993551797743e-07,0.0004995047718784956
0.0013211445654844358,0.0021998499999999997,0.9999995967218112,4.032781888430037e-07,0.0006104979772575167
0.0015613390191815063,0.0025998,0.9999994367536155,5.632463845328672e-07,0.0007214910944596958
0.0018015334728785765,0.00299975,0.999999250125501,7.498744990508399e-07,0.0008324841078521409
0.0020417279265756466,0.0033997,0.9999990368374939,9.63162506084636e-07,0.0009434770014283674
0.002281922380272717,0.00379965,0.9999987968896258,1.203110374214944e-06,0.001054469759193732
0.0025221168339697874,0.0041995999999999995,0.9999985302819305,1.4697180694689393e-06,0.0011654623650282877
0.0027623112876668577,0.00459955,0.9999982370144469,1.7629855530998384e-06,0.0012764548031617025
0.003002505741363928,0.0049995,0.9999979170872171,2.0829127829191663e-06,0.0013874470575411851
0.0032427001950609984,0.00539945,0.999997570500287,2.4294997129636897e-06,0.0014984391122030373
0.0034828946487580684,0.0057994,0.9999971972537065,2.8027462934954173e-06,0.0016094309511514525
0.003723089102455139,0.00619935,0.9999967973475292,3.2026524707795545e-06,0.0017204225583169895
0.003963283556152209,0.0065993,0.999996370781813,3.629218186973482e-06,0.0018314139177800113
0.0042034780098492795,0.00699925,0.9999959175566194,4.082443380570844e-06,0.0019424050136756133
0.00444367246354635,0.0073992,0.9999954376720134,4.562327986623593e-06,0.0020533958299343833
0.00468386691724342,0.0077991499999999995,0.9999949311280638,5.068871936186881e-06,0.00216438635053044
0.004924061370940491,0.0081991,0.9999943979248442,5.6020751557639414e-06,0.002275376559602416
0.005164255824637561,0.00859905,0.9999938380624308,6.161937569193476e-06,0.0023863664410369054
0.005404450278334631,0.008999,0.9999932515409042,6.7484590957622714e-06,0.0024973559789370756
