s_z,C_bar,coverage_deficit,S_analytical,S_numeric,derivative_abs_error,fine_asymptotic_deficit,coarse_asymptotic_coverage
0.001,0.9999999166666728,8.333332723875486e-08,0.0001666666414254503,0.00016666663049669236,1.0928757925758939e-11,8.333333333333333e-08,1772.4538509055158
0.00139995,0.9999998366783571,1.6332164287646833e-07,0.0002333249313419123,0.00023332492604666297,5.295249319321044e-12,1.63321666875e-07,1266.083682206876
0.0017999000000000001,0.9999997300300645,2.6996993551797743e-07,0.0002999831873995124,0.000299983193841058,6.441545593368486e-12,2.699700008333334e-07,984.7512922415222
0.0021998499999999997,0.9999995967218112,4.032781888430037e-07,0.00036664140050140186,0.0003666413839198412,1.6581560668797735e-11,4.032783352083332e-07,805.7157764872678
0.0025998,0.9999994367536155,5.632463845328672e-07,0.00043329956064770095,0.0004332995573452791,3.302421866784727e-12,5.632466700000001e-07,681.7654630762042
0.00299975,0.999999250125501,7.498744990508399e-07,0.0004999576584499011,0.0004999576475039902,1.094591095280456e-11,7.498750052083332e-07,590.8671892342749
0.0033997,0.999999036837494,9.631625059736137e-07,0.0005666156842951286,0.0005666156877026651,3.407536514239695e-12,9.631633408333332e-07,521.3559581449881
0.00379965,0.9999987968896258,1.203110374214944e-06,0.0006332736285776215,0.0006332736279812679,5.963536955921889e-13,1.203111676875e-06,466.4781890188612
0.0041995999999999995,0.9999985302819305,1.4697180694689393e-06,0.0006999314816163648,0.0006999314849931436,3.376778782808454e-12,1.469720013333333e-06,422.0530171696152
0.00459955,0.9999982370144469,1.7629855530998384e-06,0.000766589233940309,0.0007665892420849473,8.144638284114658e-12,1.7629883502083332e-06,385.35375219434854
0.0049995,0.9999979170872171,2.0829127829191663e-06,0.0008332468759087703,0.0008332468826033334,6.6945630896458885e-12,2.0829166875e-06,354.5262228033835
0.00539945,0.999997570500287,2.4294997129636897e-06,0.0008999043979345708,0.0008999044009971867,3.062615916080147e-12,2.4295050252083334e-06,328.2656290743531
0.0057994,0.9999971972537065,2.8027462934954173e-06,0.0009665617904112499,0.0009665617972665074,6.855257464119524e-12,2.8027533633333333e-06,305.62710813282683
0.00619935,0.9999967973475292,3.2026524707795545e-06,0.0010332190436881244,0.0010332190603090652,1.66209407348461e-11,3.2026617018750004e-06,285.90962776831697
0.0065993,0.999996370781813,3.629218186973482e-06,0.0010998761482044783,0.0010998761401648238,8.0396544456518e-12,3.629230040833333e-06,268.58209975383994
