regime,eta_g,f_g,sigma_ln,f_min_numerical,f_max_numerical,truncated_mass_before_renorm,integral_normalization_after_renorm,centroid,median_frequency,rms_frequency,bandwidth,energy_fraction_above_0p25,energy_fraction_above_0p40
LF,0.5,0.016,0.3465735902799727,1e-06,0.5,1.0,1.0,0.01699034682543412,0.01600000031079493,0.018041992828033707,0.006069729809330932,8.881784197001252e-16,0.0
COARSE,1.0,0.032,0.3465735902799727,1e-06,0.5,0.9999999999999989,1.0,0.03398069365086773,0.03200000044375843,0.03608398565606336,0.012139459618651238,1.5040964029822135e-09,1.5698553568199713e-13
MIXED,2.0,0.064,0.3465735902799727,1e-06,0.5,0.9999999984997278,0.9999999999999999,0.06796138660954408,0.06399999796529672,0.07216796844426134,0.024278912650281165,4.224401398666977e-05,6.048248257783939e-08
FINE,4.0,0.128,0.3465735902799727,1e-06,0.5,0.9999578032850817,1.0,0.1359056006279666,0.1279976564852052,0.1442956100610557,0.048485985612792076,0.026673752447827992,0.00046301351358746246
