mode,regime,condition_id,physical_centroid_cyc_per_px,centroid_over_fref,H_P_relative_difference_if_applicable,normalization_sum,non_dc_energy,binning_energy_error
H,LF,H_LF,0.014343434073094963,0.4482323147842176,0.3438069380845084,1.0000000000000002,4299816697856.0,1.27782492153909e-07
P,LF,P_LF,0.020298503278111852,0.6343282274409954,0.3438069380845084,1.0000000000000002,4299816960000.002,3.406758389082682e-16
H,COARSE,H_COARSE,0.021370833302547295,0.6678385407046029,0.47185299940904885,1.0,4299816960000.0,3.995098317837755e-08
P,COARSE,P_COARSE,0.03456837488693437,1.0802617152166991,0.47185299940904885,0.9999999999999999,4299816960000.0,1.1355861296942277e-16
H,MIXED,H_MIXED,0.031264418699278936,0.9770130843524667,0.4407613594245107,1.0000000000000002,4299817484288.0,7.37352779421955e-08
P,MIXED,P_MIXED,0.04893990124430521,1.5293719138845376,0.4407613594245107,0.9999999999999998,4299816960000.0,1.1355861296942277e-16
H,FINE,H_FINE,0.048025987757008656,1.5008121174065205,0.4111028642350285,1.0000000000000002,4299817484288.0,2.953783066974753e-08
P,FINE,P_FINE,0.07287796927325343,2.2774365397891696,0.4111028642350285,1.0,4299816960000.001,2.271172259388455e-16
