regime,f_g,centroid,median_frequency,rms_frequency,bandwidth,E_at_delta_0p5,M_at_delta_0p5,delta_Mmax,Mmax
LF,0.016,0.01699034682543412,0.01600000031079493,0.018041992828033707,0.006069729809330932,0.9821127814099453,0.0697125795251784,1.9356321360533961,0.15303093395806877
COARSE,0.032,0.03398069365086773,0.03200000044375843,0.03608398565606336,0.012139459618651238,0.9334846332342951,0.24148746762982126,0.9678163533818329,0.30606184794208
MIXED,0.064,0.06796138660954408,0.06399999796529672,0.07216796844426134,0.024278912650281165,0.7898913824313094,0.6116842280721978,0.4839087478916611,0.6121236171808263
FINE,0.128,0.1359056006279666,0.1279976564852052,0.1442956100610557,0.048485985612792076,0.5271135439385968,0.8209756550143577,0.24196901555970565,1.2242532825249872
