d (DOF),sigma (px),MTF_analytical,C(d)/C(0) numeric,abs_error,rel_error
-1.0,11.711914070579848,0.06250000000000006,0.06253914762894038,3.9147628940319756e-05,0.0006263620630451156
-0.75,8.783935552934885,0.21022410381342874,0.2102192699763503,4.833837078443981e-06,2.2993733785798184e-05
-0.5,5.855957035289924,0.5000000000000001,0.5000133778815186,1.337788151845043e-05,2.6755763036900852e-05
-0.25,2.927978517644962,0.8408964152537146,0.8409272401423499,3.082488863526134e-05,3.66571768842193e-05
0.0,0.0,1.0,1.0,0.0,0.0
0.25,2.927978517644962,0.8408964152537146,0.8409272401423499,3.082488863526134e-05,3.66571768842193e-05
0.5,5.855957035289924,0.5000000000000001,0.5000133778815186,1.337788151845043e-05,2.6755763036900852e-05
0.75,8.783935552934885,0.21022410381342874,0.2102192699763503,4.833837078443981e-06,2.2993733785798184e-05
1.0,11.711914070579848,0.06250000000000006,0.06253914762894038,3.9147628940319756e-05,0.0006263620630451156
